id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,predicted_idx,predicted_attack_cat
38667,1.292678,tcp,ftp,FIN,52,54,2934,3740,81.226725,31,29,17811.08594,22718.72852,11,15,25.340315,24.37966,2032.399964,67.804586,255,1861926481,1972779139,255,0.000703,0.000548,0.000155,56,69,0,0,1,0,5,1,1,4,1,1,0,7,1,0,Normal,0,3,Exploits
56461,7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,4,5,4,4,0,0,0,5,4,0,Generic,1,3,Exploits
16267,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,51,2,23,23,13,51,0,0,0,23,51,0,Generic,1,3,Exploits
75604,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.752,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0,3,Exploits
11201,0.189998,tcp,-,FIN,10,6,1460,268,78.948199,254,252,55326.89844,9431.677734,2,1,19.378444,36.389602,1025.97562,60.734199,255,190656160,3729297770,255,0.057777,0.008046,0.049731,146,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
21825,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,18,18,18,24,0,0,0,19,24,0,Generic,1,3,Exploits
28686,0.018855,tcp,-,FIN,16,18,1540,1644,1750.198894,31,29,612675.6875,658923.375,4,4,1.2362,1.077,74.172985,2.182503,255,1379963200,1384679756,255,0.000676,0.000543,0.000133,96,91,0,0,7,0,7,6,1,6,0,0,0,9,11,0,Normal,0,3,Exploits
65458,0.558848,tcp,-,FIN,10,14,794,6798,41.156091,62,252,10235.34082,90371.61719,2,4,62.094222,38.441385,3779.376221,3149.359056,255,321857326,1523280552,255,0.121613,0.058328,0.063285,79,486,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
78820,2.020807,tcp,-,FIN,10,8,842,354,8.412481,254,252,3000.78125,1227.232422,2,1,224.534111,277.363156,14143.3215,402.60625,255,1316255462,3362912266,255,0.156175,0.077776,0.078399,84,44,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Normal,0,3,Exploits
8318,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,3,7,0,Exploits,1,3,Exploits
20353,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,2,13,13,13,16,0,0,0,14,16,0,Generic,1,3,Exploits
42909,1.116946,tcp,-,FIN,16,12,880,678,24.173058,254,252,5908.969727,4455.004883,4,4,74.463064,95.465727,4190.256929,159.577438,255,3756337194,540536891,255,0.115492,0.059452,0.05604,55,57,0,0,4,1,1,1,1,3,0,0,0,1,3,0,Normal,0,3,Exploits
66448,4.674321,tcp,-,REQ,4,0,180,0,0.641804,254,0,231.049591,0.0,3,0,1558.107,0.0,2203.48675,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,20,6,19,1,1,19,0,0,0,20,19,0,Normal,0,3,Exploits
29643,0.018385,tcp,-,FIN,16,18,1540,1644,1794.941477,31,29,628338.3125,675768.25,4,4,1.2016,1.053882,73.814082,2.019408,255,113397431,119287162,255,0.000585,0.000463,0.000122,96,91,0,0,9,0,7,6,1,7,0,0,0,11,8,0,Normal,0,3,Exploits
26388,0.338244,tcp,-,FIN,16,18,1540,1644,97.562709,31,29,34152.85938,36730.88281,4,4,22.524667,19.823705,1372.88293,35.270801,255,262419480,301409797,255,0.001421,0.001231,0.00019,96,91,0,0,14,0,5,5,1,5,0,0,0,7,13,0,Normal,0,3,Exploits
11271,2.223076,tcp,pop3,FIN,54,248,2424,304406,135.397974,62,252,8564.708984,1091025.125,7,122,41.944829,8.857675,2164.253007,956.616838,255,2549301961,3192208524,255,0.030255,0.015043,0.015212,45,1227,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
74303,1.462141,tcp,http,FIN,10,10,816,1156,12.994642,62,252,4021.499756,5695.756836,2,2,162.452333,146.060672,9914.8826,241.808078,255,1906168842,3857350311,255,0.208035,0.147593,0.060442,82,116,1,132,2,1,1,1,1,2,0,0,1,2,2,0,Normal,0,3,Exploits
27543,0.042971,tcp,-,FIN,72,74,4238,63878,3374.368754,31,29,778199.25,11731633.0,7,30,0.600746,0.579836,38.273006,40.298832,255,2241489195,96416416,255,0.000806,0.000631,0.000175,59,863,0,0,4,0,3,1,1,1,0,0,0,6,6,0,Normal,0,3,Exploits
17643,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,41,2,20,20,9,41,0,0,0,20,41,0,Generic,1,3,Exploits
39364,0.037927,tcp,-,FIN,84,86,4862,77276,4455.928293,31,29,1013525.938,16110527.0,7,36,0.452771,0.439918,23.706645,23.484981,255,1101794890,1120118547,255,0.000683,0.000527,0.000156,58,899,0,0,2,0,2,1,1,1,0,0,0,4,3,0,Normal,0,3,Exploits
61880,0.908077,tcp,-,FIN,12,8,1058,756,20.923336,254,252,8545.53125,5832.104492,3,2,82.50427,119.510289,4478.830994,185.914891,255,2802974842,3162288839,255,0.117208,0.071501,0.045707,88,95,0,0,4,1,1,1,1,1,0,0,0,1,4,0,Fuzzers,1,3,Exploits
45052,0.276434,tcp,-,FIN,10,6,484,268,54.262499,254,252,12617.83984,6482.560059,2,1,28.352667,46.543,1439.358078,68.410664,255,1519031522,2207059150,255,0.063804,0.043708,0.020096,48,45,0,0,13,1,2,2,1,2,0,0,0,2,13,0,Fuzzers,1,3,Exploits
5053,4e-06,unas,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,3,3,3,4,0,0,0,3,4,0,Fuzzers,1,3,Exploits
51952,3e-06,pnni,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,6,6,6,0,0,0,8,14,0,Exploits,1,3,Exploits
28570,30.983368,arp,-,CON,4,4,184,112,0.225928,0,0,35.632019,21.689056,0,0,15491.436,15491.436,15491.396,15491.406,0,0,0,0,0.0,0.0,0.0,46,28,0,0,2,0,2,2,2,2,0,0,0,2,2,0,Normal,0,3,Exploits
57120,1e-05,udp,-,INT,2,0,168,0,100000.0025,254,0,67200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1,3,Exploits
53168,1.1e-05,unas,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,2,2,2,2,0,0,0,5,11,0,Exploits,1,3,Exploits
18710,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,45,2,41,41,17,45,0,0,0,41,45,0,Generic,1,3,Exploits
69665,3e-06,udp,-,INT,2,0,196,0,333333.3215,254,0,261333328.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,98,0,0,0,6,2,5,5,1,6,0,0,0,22,6,0,Normal,0,3,Exploits
66658,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.712,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0,3,Exploits
